23.57,0.44,23.35,-3.07,23.67,-0.82,-1.26,18.72,4.71,23.62,-2.36,16.65,23.59,23.59,23.59,23.59,23.59,23.59,23.59
20.65,-0.68,18.59,-2.95,19.04,-0.47,-1.3,16.56,0,18.95,-2.56,14.54,18.89,18.89,18.89,18.89,18.89,18.89,18.89
23.46,-0.14,21.28,-3.22,21.81,0.79,-1.04,21.52,0,21.7,-2.67,17.18,21.63,21.63,21.63,21.63,21.63,21.63,21.63
26.72,0.87,23.38,-4.67,24.14,2.74,-0.49,21.8,12.17,24,-2.8,24.35,23.91,23.91,23.91,23.91,23.91,23.91,23.91
24.7,0.06,22.75,-3.43,23.41,1.55,-0.81,19.81,0.86,23.29,-2.71,22.31,23.21,23.21,23.21,23.21,23.21,23.21,23.21
25.78,1.16,24.77,-4.16,25,-5.93,-0.3,20.61,11.54,24.96,-2.5,24.7,24.93,24.93,24.93,24.93,24.93,24.93,24.93
26.21,1.35,26.74,-4.26,26.85,-8.64,-0.26,20.51,12,26.85,-2.55,26.68,26.83,26.83,26.83,26.83,26.83,26.83,26.83
28.83,2.18,31.91,-4.73,31.88,-10.42,-0.04,21.07,23.17,31.93,-2.45,30.28,31.93,31.93,31.93,31.93,31.93,31.93,31.93
33.69,2.67,35.02,-5.08,34.5,-12.25,0.22,25.89,27,34.6,-2.43,34.27,34.67,34.67,34.67,34.67,34.67,34.67,34.67
34.64,3.95,35.96,-5.4,35.4,-14.1,1.29,26.29,35.87,35.52,-1.74,35.07,35.6,35.6,35.6,35.6,35.6,35.6,35.6
34.45,3.82,35.83,-5.25,35.26,-13.59,1.2,26.16,34.36,35.39,-1.77,34.88,35.46,35.46,35.46,35.46,35.46,35.46,35.46
34.04,2.49,35.7,-4.43,35.05,-11.54,0.23,25.25,23.37,35.18,-2.25,35.21,35.28,35.28,35.28,35.28,35.28,35.28,35.28
38.12,2.24,41.02,-3.67,40,-8.8,-0.02,27.36,18.01,40.23,-2.25,39.43,40.36,40.36,40.36,40.36,40.36,40.36,40.36
27.53,3.73,25.68,-5.72,25.98,-15.79,1.78,20.98,37.46,25.92,-1.57,29.1,25.88,25.88,25.88,25.88,25.88,25.88,25.88
26.43,3.69,24.87,-5.65,25.1,-16.37,1.71,19.89,37.15,25.05,-1.53,28.46,25.03,25.03,25.03,25.03,25.03,25.03,25.03
29.72,3.83,26.74,-5.73,27.32,-12.48,2.17,22.5,38.18,27.21,-1.46,31.92,27.13,27.13,27.13,27.13,27.13,27.13,27.13
30.35,2.72,26.36,-4.67,27.23,-3.18,1.49,23.27,26.47,27.05,-1.75,33.16,26.94,26.94,26.94,26.94,26.94,26.94,26.94
30.82,3.22,27.18,-5.64,27.92,-9.21,1.83,22.36,34.21,27.78,-1.8,34.24,27.69,27.69,27.69,27.69,27.69,27.69,27.69
32.5,2.86,27.67,-5.24,28.71,-1.55,1.68,23.18,29.81,28.5,-1.9,37.2,28.37,28.37,28.37,28.37,28.37,28.37,28.37
32.53,1.07,27.55,-4.46,28.58,3.22,0.17,23.13,15.45,28.38,-2.8,39.64,28.25,28.25,28.25,28.25,28.25,28.25,28.25
33.21,1.55,30.69,-4.24,31.12,4.41,-0.15,23.36,15.82,31.06,-2.72,39.54,30.99,30.99,30.99,30.99,30.99,30.99,30.99
